County,District,Budget Type/Operating Group,Concat,Year,Total Spend,Avg Number Students,Avg Spend per Student
ATLANTIC,ABSECON CITY,"K. K-12|K-8,751+","ATLANTICABSECON CITYK. K-12|K-8,751+",2012,13688601,938.6,14584
ATLANTIC,ATLANTIC CITY,"N. K-12|K-12,3500+","ATLANTICATLANTIC CITYN. K-12|K-12,3500+",2012,174010107,6807.8,25560
ATLANTIC,ATLANTIC CO SPECIAL SERV,P. CSSD,ATLANTICATLANTIC CO SPECIAL SERVP. CSSD,2012,23102814,438.4,52699
ATLANTIC,ATLANTIC CO VOCATIONAL,Q. COUNTY VOC,ATLANTICATLANTIC CO VOCATIONALQ. COUNTY VOC,2012,16513149,1022,16157
ATLANTIC,BRIGANTINE CITY,"J. K-12|K-8,401-750","ATLANTICBRIGANTINE CITYJ. K-12|K-8,401-750",2012,20546556,1024.7,20052
ATLANTIC,BUENA REGIONAL,"M. K-12|K-12,1800-3500","ATLANTICBUENA REGIONALM. K-12|K-12,1800-3500",2012,43852340,2420.8,18115
ATLANTIC,CHARTER-TECH H.S. FOR PRF. ARTS,O. CHARTER,ATLANTICCHARTER-TECH H.S. FOR PRF. ARTSO. CHARTER,2012,5018009,309.7,16203
ATLANTIC,EGG HARBOR CITY,"D. K-8|K-8,401-750","ATLANTICEGG HARBOR CITYD. K-8|K-8,401-750",2012,10843720,498.9,21735
ATLANTIC,EGG HARBOR TWP,"N. K-12|K-12,3500+","ATLANTICEGG HARBOR TWPN. K-12|K-12,3500+",2012,126502369,7825.6,16165
ATLANTIC,ESTELL MANOR CITY,"I. K-12|K-8,0-400","ATLANTICESTELL MANOR CITYI. K-12|K-8,0-400",2012,4727681,281.3,16805
ATLANTIC,FOLSOM BORO,"J. K-12|K-8,401-750","ATLANTICFOLSOM BOROJ. K-12|K-8,401-750",2012,7542165,522.5,14435
ATLANTIC,GALLOWAY COMMUNITY CHARTER SCHOOL,O. CHARTER,ATLANTICGALLOWAY COMMUNITY CHARTER SCHOOLO. CHARTER,2012,3453666,164.1,21046
ATLANTIC,GALLOWAY TWP,"E. K-8|K-8,751+","ATLANTICGALLOWAY TWPE. K-8|K-8,751+",2012,58015242,3467.3,16732
ATLANTIC,GREATER EGG HARBOR REG,"G. G9-12|7-12,9-12","ATLANTICGREATER EGG HARBOR REGG. G9-12|7-12,9-12",2012,72314253,3783.5,19113
ATLANTIC,HAMILTON TWP,"E. K-8|K-8,751+","ATLANTICHAMILTON TWPE. K-8|K-8,751+",2012,49970631,3183.2,15698
ATLANTIC,HAMMONTON TOWN,"N. K-12|K-12,3500+","ATLANTICHAMMONTON TOWNN. K-12|K-12,3500+",2012,48885527,3571.6,13687
ATLANTIC,LINWOOD CITY,"E. K-8|K-8,751+","ATLANTICLINWOOD CITYE. K-8|K-8,751+",2012,15288393,881.2,17350
ATLANTIC,MAINLAND REGIONAL,"G. G9-12|7-12,9-12","ATLANTICMAINLAND REGIONALG. G9-12|7-12,9-12",2012,30066903,1498.2,20068
ATLANTIC,MARGATE CITY,"J. K-12|K-8,401-750","ATLANTICMARGATE CITYJ. K-12|K-8,401-750",2012,14949492,618.6,24166
ATLANTIC,MULLICA TWP,"E. K-8|K-8,751+","ATLANTICMULLICA TWPE. K-8|K-8,751+",2012,,,
ATLANTIC,NORTHFIELD CITY,"E. K-8|K-8,751+","ATLANTICNORTHFIELD CITYE. K-8|K-8,751+",2012,15296498,1049.9,14570
ATLANTIC,PLEASANTVILLE CITY,"N. K-12|K-12,3500+","ATLANTICPLEASANTVILLE CITYN. K-12|K-12,3500+",2012,95893109,4018.9,23861
ATLANTIC,PORT REPUBLIC CITY,"I. K-12|K-8,0-400","ATLANTICPORT REPUBLIC CITYI. K-12|K-8,0-400",2012,2883114,163.3,17655
ATLANTIC,SOMERS POINT CITY,"E. K-8|K-8,751+","ATLANTICSOMERS POINT CITYE. K-8|K-8,751+",2012,16298314,1111.8,14659
ATLANTIC,VENTNOR CITY,"K. K-12|K-8,751+","ATLANTICVENTNOR CITYK. K-12|K-8,751+",2012,23690353,1257.2,18844
ATLANTIC,WEYMOUTH TWP,"I. K-12|K-8,0-400","ATLANTICWEYMOUTH TWPI. K-12|K-8,0-400",2012,4953890,302.1,16399
BERGEN,ALLENDALE BORO,"E. K-8|K-8,751+","BERGENALLENDALE BOROE. K-8|K-8,751+",2012,16248491,930,17471
BERGEN,ALPINE BORO,"I. K-12|K-8,0-400","BERGENALPINE BOROI. K-12|K-8,0-400",2012,5691489,219.4,25936
BERGEN,BERGEN ARTS & SCIENCE CHARTER SCHOOL,O. CHARTER,BERGENBERGEN ARTS & SCIENCE CHARTER SCHOOLO. CHARTER,2012,8685762,594.3,14615
BERGEN,BERGEN CO SPECIAL SERVICE,P. CSSD,BERGENBERGEN CO SPECIAL SERVICEP. CSSD,2012,60892182,695.2,87585
BERGEN,BERGEN COUNTY VOCATIONAL,Q. COUNTY VOC,BERGENBERGEN COUNTY VOCATIONALQ. COUNTY VOC,2012,76299633,2125.5,35897
BERGEN,BERGENFIELD BORO,"M. K-12|K-12,1800-3500","BERGENBERGENFIELD BOROM. K-12|K-12,1800-3500",2012,,,
BERGEN,BOGOTA BORO,"L. K-12|K-12,0-1800","BERGENBOGOTA BOROL. K-12|K-12,0-1800",2012,20904761,1183.4,17664
BERGEN,CARLSTADT BORO,"D. K-8|K-8,401-750","BERGENCARLSTADT BOROD. K-8|K-8,401-750",2012,12171218,593.3,20514
BERGEN,CARLSTADT-EAST RUTHERFORD,"G. G9-12|7-12,9-12","BERGENCARLSTADT-EAST RUTHERFORDG. G9-12|7-12,9-12",2012,12759418,515.8,24738
BERGEN,CLIFFSIDE PARK BORO,"M. K-12|K-12,1800-3500","BERGENCLIFFSIDE PARK BOROM. K-12|K-12,1800-3500",2012,42786007,2795.3,15306
BERGEN,CLOSTER BORO,"E. K-8|K-8,751+","BERGENCLOSTER BOROE. K-8|K-8,751+",2012,18870656,1132.5,16663
BERGEN,CRESSKILL BORO,"L. K-12|K-12,0-1800","BERGENCRESSKILL BOROL. K-12|K-12,0-1800",2012,29209412,1780.2,16408
BERGEN,DEMAREST BORO,"D. K-8|K-8,401-750","BERGENDEMAREST BOROD. K-8|K-8,401-750",2012,13347542,669.7,19931
BERGEN,DUMONT BORO,"M. K-12|K-12,1800-3500","BERGENDUMONT BOROM. K-12|K-12,1800-3500",2012,45606211,2749,16590
BERGEN,EAST RUTHERFORD BORO,"E. K-8|K-8,751+","BERGENEAST RUTHERFORD BOROE. K-8|K-8,751+",2012,15810838,789.1,20037
BERGEN,EDGEWATER BORO,H. K-12|K-6,BERGENEDGEWATER BOROH. K-12|K-6,2012,17172476,1011.2,16982
BERGEN,ELMWOOD PARK,"M. K-12|K-12,1800-3500","BERGENELMWOOD PARKM. K-12|K-12,1800-3500",2012,38892353,2557.4,15208
BERGEN,EMERSON BORO,"L. K-12|K-12,0-1800","BERGENEMERSON BOROL. K-12|K-12,0-1800",2012,19680884,1208.3,16288
BERGEN,ENGLEWOOD CITY,"M. K-12|K-12,1800-3500","BERGENENGLEWOOD CITYM. K-12|K-12,1800-3500",2012,69144194,2981.1,23195
BERGEN,ENGLEWOOD CLIFFS BORO,"J. K-12|K-8,401-750","BERGENENGLEWOOD CLIFFS BOROJ. K-12|K-8,401-750",2012,10843946,512.7,21151
BERGEN,ENGLEWOOD ON THE PALISADES CHARTER SCHOO,O. CHARTER,BERGENENGLEWOOD ON THE PALISADES CHARTER SCHOOO. CHARTER,2012,3311976,185.7,17835
BERGEN,FAIR LAWN BORO,"N. K-12|K-12,3500+","BERGENFAIR LAWN BORON. K-12|K-12,3500+",2012,86976479,4665,18645
BERGEN,FAIRVIEW BORO,"K. K-12|K-8,751+","BERGENFAIRVIEW BOROK. K-12|K-8,751+",2012,21365878,1604.4,13317
BERGEN,FORT LEE BORO,"N. K-12|K-12,3500+","BERGENFORT LEE BORON. K-12|K-12,3500+",2012,58586614,3749.4,15626
BERGEN,FRANKLIN LAKES BORO,"E. K-8|K-8,751+","BERGENFRANKLIN LAKES BOROE. K-8|K-8,751+",2012,29754758,1422.1,20924
BERGEN,GARFIELD CITY,"N. K-12|K-12,3500+","BERGENGARFIELD CITYN. K-12|K-12,3500+",2012,94894059,4921.7,19281
BERGEN,GLEN ROCK BORO,"M. K-12|K-12,1800-3500","BERGENGLEN ROCK BOROM. K-12|K-12,1800-3500",2012,47405654,2450.9,19342
BERGEN,HACKENSACK CITY,"N. K-12|K-12,3500+","BERGENHACKENSACK CITYN. K-12|K-12,3500+",2012,99139648,5332.9,18590
BERGEN,HARRINGTON PARK BORO,"D. K-8|K-8,401-750","BERGENHARRINGTON PARK BOROD. K-8|K-8,401-750",2012,11724543,703.7,16661
BERGEN,HASBROUCK HEIGHTS BORO,"M. K-12|K-12,1800-3500","BERGENHASBROUCK HEIGHTS BOROM. K-12|K-12,1800-3500",2012,28818523,1845.8,15613
BERGEN,HAWORTH BORO,"D. K-8|K-8,401-750","BERGENHAWORTH BOROD. K-8|K-8,401-750",2012,9048161,448.1,20193
BERGEN,HILLSDALE BORO,"E. K-8|K-8,751+","BERGENHILLSDALE BOROE. K-8|K-8,751+",2012,21412347,1400.8,15285
BERGEN,HO HO KUS BORO,"J. K-12|K-8,401-750","BERGENHO HO KUS BOROJ. K-12|K-8,401-750",2012,13979202,878.4,15915
BERGEN,LEONIA BORO,"M. K-12|K-12,1800-3500","BERGENLEONIA BOROM. K-12|K-12,1800-3500",2012,31463891,1835.5,17141
BERGEN,LITTLE FERRY BORO,"K. K-12|K-8,751+","BERGENLITTLE FERRY BOROK. K-12|K-8,751+",2012,19950110,1327.4,15029
BERGEN,LODI BOROUGH,"M. K-12|K-12,1800-3500","BERGENLODI BOROUGHM. K-12|K-12,1800-3500",2012,58670130,3504.5,16741
BERGEN,LYNDHURST TWP,"M. K-12|K-12,1800-3500","BERGENLYNDHURST TWPM. K-12|K-12,1800-3500",2012,38831461,2390.5,16244
BERGEN,MAHWAH TWP,"M. K-12|K-12,1800-3500","BERGENMAHWAH TWPM. K-12|K-12,1800-3500",2012,61321374,3341.5,18352
BERGEN,MAYWOOD BORO,"K. K-12|K-8,751+","BERGENMAYWOOD BOROK. K-12|K-8,751+",2012,18796025,1205.2,15595
BERGEN,MIDLAND PARK BORO,"L. K-12|K-12,0-1800","BERGENMIDLAND PARK BOROL. K-12|K-12,0-1800",2012,20708334,1119.3,18501
BERGEN,MONTVALE BORO,"E. K-8|K-8,751+","BERGENMONTVALE BOROE. K-8|K-8,751+",2012,16358708,1100,14872
BERGEN,MOONACHIE BORO,"I. K-12|K-8,0-400","BERGENMOONACHIE BOROI. K-12|K-8,0-400",2012,8345101,400.2,20853
BERGEN,NEW MILFORD BORO,"M. K-12|K-12,1800-3500","BERGENNEW MILFORD BOROM. K-12|K-12,1800-3500",2012,32948601,2088.2,15779
BERGEN,NORTH ARLINGTON BORO,"L. K-12|K-12,0-1800","BERGENNORTH ARLINGTON BOROL. K-12|K-12,0-1800",2012,26961944,1686.3,15989
BERGEN,NORTHERN HIGHLANDS REG,"G. G9-12|7-12,9-12","BERGENNORTHERN HIGHLANDS REGG. G9-12|7-12,9-12",2012,27183304,1364.3,19925
BERGEN,NORTHERN VALLEY REGIONAL,"G. G9-12|7-12,9-12","BERGENNORTHERN VALLEY REGIONALG. G9-12|7-12,9-12",2012,55652168,2533.5,21967
BERGEN,NORTHVALE BORO,"D. K-8|K-8,401-750","BERGENNORTHVALE BOROD. K-8|K-8,401-750",2012,9260552,583.7,15866
BERGEN,NORWOOD BORO,"D. K-8|K-8,401-750","BERGENNORWOOD BOROD. K-8|K-8,401-750",2012,9804274,620.2,15809
BERGEN,OAKLAND BORO,"E. K-8|K-8,751+","BERGENOAKLAND BOROE. K-8|K-8,751+",2012,28721272,1739.3,16514
BERGEN,OLD TAPPAN BORO,"D. K-8|K-8,401-750","BERGENOLD TAPPAN BOROD. K-8|K-8,401-750",2012,,,
BERGEN,ORADELL BORO,A. K-6|K-6,BERGENORADELL BOROA. K-6|K-6,2012,12271335,796.2,15413
BERGEN,PALISADES PARK,"L. K-12|K-12,0-1800","BERGENPALISADES PARKL. K-12|K-12,0-1800",2012,24271571,1594,15227
BERGEN,PARAMUS BORO,"N. K-12|K-12,3500+","BERGENPARAMUS BORON. K-12|K-12,3500+",2012,80733448,4114,19624
BERGEN,PARK RIDGE BORO,"L. K-12|K-12,0-1800","BERGENPARK RIDGE BOROL. K-12|K-12,0-1800",2012,26268828,1298.2,20234
BERGEN,PASCACK VALLEY REGIONAL,"G. G9-12|7-12,9-12","BERGENPASCACK VALLEY REGIONALG. G9-12|7-12,9-12",2012,47906204,2088.8,22934
BERGEN,RAMAPO-INDIAN HILL REG,"G. G9-12|7-12,9-12","BERGENRAMAPO-INDIAN HILL REGG. G9-12|7-12,9-12",2012,50923735,2309.5,22050
BERGEN,RAMSEY BORO,"M. K-12|K-12,1800-3500","BERGENRAMSEY BOROM. K-12|K-12,1800-3500",2012,55666838,3074.4,18106
BERGEN,RIDGEFIELD BORO,"L. K-12|K-12,0-1800","BERGENRIDGEFIELD BOROL. K-12|K-12,0-1800",2012,35382534,1864,18982
BERGEN,RIDGEFIELD PARK TWP,"M. K-12|K-12,1800-3500","BERGENRIDGEFIELD PARK TWPM. K-12|K-12,1800-3500",2012,36283944,2263.7,16028
BERGEN,RIDGEWOOD VILLAGE,"N. K-12|K-12,3500+","BERGENRIDGEWOOD VILLAGEN. K-12|K-12,3500+",2012,101246274,5784.8,17502
BERGEN,RIVER DELL REGIONAL,"F. G7-12|7-12,9-12","BERGENRIVER DELL REGIONALF. G7-12|7-12,9-12",2012,31666879,1692,18716
BERGEN,RIVER EDGE BORO,A. K-6|K-6,BERGENRIVER EDGE BOROA. K-6|K-6,2012,16892234,1168.7,14454
BERGEN,RIVER VALE TWP,"E. K-8|K-8,751+","BERGENRIVER VALE TWPE. K-8|K-8,751+",2012,22388342,1249.4,17919
BERGEN,ROCHELLE PARK TWP,"J. K-12|K-8,401-750","BERGENROCHELLE PARK TWPJ. K-12|K-8,401-750",2012,10951806,609.6,17965
BERGEN,RUTHERFORD BORO,"M. K-12|K-12,1800-3500","BERGENRUTHERFORD BOROM. K-12|K-12,1800-3500",2012,42754723,2552.8,16748
BERGEN,SADDLE BROOK TWP,"L. K-12|K-12,0-1800","BERGENSADDLE BROOK TWPL. K-12|K-12,0-1800",2012,32169825,1751.7,18365
BERGEN,SADDLE RIVER BORO,H. K-12|K-6,BERGENSADDLE RIVER BOROH. K-12|K-6,2012,8830344,430.2,20525
BERGEN,SOUTH HACKENSACK TWP,"I. K-12|K-8,0-400","BERGENSOUTH HACKENSACK TWPI. K-12|K-8,0-400",2012,7900626,360.3,21926
BERGEN,TEANECK COMMUNITY CHARTER SCHOOL,O. CHARTER,BERGENTEANECK COMMUNITY CHARTER SCHOOLO. CHARTER,2012,4997337,305.9,16337
BERGEN,TEANECK TWP,"N. K-12|K-12,3500+","BERGENTEANECK TWPN. K-12|K-12,3500+",2012,91372836,3991.6,22891
BERGEN,TENAFLY BORO,"N. K-12|K-12,3500+","BERGENTENAFLY BORON. K-12|K-12,3500+",2012,65739916,3696,17787
